line_number,username,platform,creator_type,drop_reasons
58,diego_mellowcat,Instagram,Cat,missing_or_invalid_rate_card
74,septiawulan25,Instagram,Cat,missing_or_invalid_followers
75,ajibankara.official,Instagram,Cat,missing_or_invalid_followers
76,danang.thecat,Instagram,Cat,missing_or_invalid_followers
80,iwhy_75,Instagram,Cat,missing_or_invalid_followers
81,apria_wi,Instagram,Cat,missing_or_invalid_followers
82,lockycatt,Tiktok,Cat,missing_or_invalid_rate_card
83,nitayunita129,Tiktok,Cat,missing_or_invalid_rate_card
84,Catzonesia,Tiktok,Cat,missing_or_invalid_followers
85,Nytareview,Tiktok,Cat,missing_or_invalid_followers
90,bilalpyarka,Tiktok,Cat,missing_or_invalid_rate_card
95,widiwidioo,Tiktok,Cat,missing_or_invalid_followers
96,kinzari.kei,Tiktok,Cat,missing_or_invalid_followers
108,yamadancasey,Instagram,Dog Medium Breed,"missing_or_invalid_followers,missing_or_invalid_rate_card"
109,obeywelshcorgi,Instagram,Dog Medium Breed,missing_or_invalid_followers
113,lilo_lovelyone,Tiktok,Dog Small Breed,missing_or_invalid_rate_card
131,woofstation.kennelbdg,Tiktok,Dog Medium Breed,missing_or_invalid_rate_card
134,cassie.bule,Tiktok,Dog Medium Breed,"missing_or_invalid_followers,missing_or_invalid_rate_card"
135,erinasuhersasi,Tiktok,Dog Medium Breed,missing_or_invalid_followers
136,Brexycayangpapa,Tiktok,Dog Medium Breed,"missing_or_invalid_followers,missing_or_invalid_rate_card"
186,pota.potabi,Tiktok,Cat,missing_or_invalid_followers
201,baim_nyan,Tiktok,Cat,missing_or_invalid_followers
202,fitrializa7,Tiktok,Cat,missing_or_invalid_followers
203,hiyorinorin,Tiktok,Cat,missing_or_invalid_followers
204,dearestsasa,Tiktok,Cat,missing_or_invalid_followers
205,loui.white.cat,Tiktok,Cat,missing_or_invalid_followers
206,ssflowerrr,Tiktok,Cat,missing_or_invalid_followers
220,threemuscateers,Instagram,Cat,missing_or_invalid_followers
229,rasheilas,Tiktok,Cat,missing_or_invalid_followers
230,miukiyowo,Tiktok,Cat,missing_or_invalid_followers
231,kimyooraaaa_,Instagram,Dog Small Breed,missing_or_invalid_followers
241,sweet_papcha,Instagram,Cat,missing_or_invalid_followers
242,mbulthecat,Tiktok,Cat,missing_or_invalid_followers
248,menoott,Tiktok,Cat,missing_or_invalid_followers
249,jojichindo,Tiktok,Cat,missing_or_invalid_followers
250,keluarga_boolat,Tiktok,Cat,missing_or_invalid_followers
251,daddyanabul1,Tiktok,Cat,missing_or_invalid_followers
252,om.boboyy,Instagram,Cat,missing_or_invalid_followers
253,naomi.sicat,Instagram,Cat,missing_or_invalid_followers
254,montybardokairoskingkane,Instagram,Dog Medium Breed,missing_or_invalid_followers
